ID;Location;Quantity;Length;Width;Thickness;Grade;Price;Description;Date;Species
320;Warehouse 2;34;9'-4";12'-9";9/4";1;4.33;Log;2023-06-23;Pine
321;Depot Y;14;4'-4";9'-5";4/4";3;32.45;Piece;N/A;Cherry
322;Warehouse 2;2;4'-7";7'-4";10/4";2;35.79;Bulk;N/A;Pine
323;Warehouse 2;21;4'-4";1'-1";1/4";2;3.05;Bulk;N/A;Walnut
324;Depot Y;87;6'-5";11'-4";10/4";1;3.14;Piece;N/A;Ash
325;Depot X;48;8'-9";3'-2";2/4";2;9.63;Log;2024-10-24;Oak
326;Depot Y;20;3'-4";11'-3";6/4";2;11.16;Bulk;N/A;Birch
327;Depot X;83;6'-9";7'-2";7/4";4;1.1;Bulk;N/A;Ash
328;Yard A;72;12'-3";3'-4";9/4";2;1.09;Log;2025-01-08;Cedar
329;Depot Y;90;1'-1";7'-5";6/4";3;1.28;Log;2023-10-19;Cherry
330;Yard A;80;9'-11";5'-8";8/4";3;2.34;Bulk;N/A;Pine
331;Warehouse 1;32;5'-2";9'-9";7/4";1;14.57;Bulk;N/A;Cherry
332;Warehouse 1;8;2'-1";12'-3";4/4";2;40.82;Log;2023-09-30;Maple
333;Yard A;58;11'-1";7'-2";2/4";3;2.55;Piece;N/A;Walnut
334;Warehouse 1;31;8'-8";6'-4";7/4";1;0.23;Log;2025-02-19;Walnut
335;Warehouse 1;17;7'-1";11'-7";6/4";3;20.32;Bulk;N/A;Pine
336;Depot Y;99;3'-8";4'-3";10/4";3;2.39;Piece;N/A;Ash
337;Yard B;85;6'-4";12'-8";5/4";1;2.64;Bulk;N/A;Cedar
338;Warehouse 2;72;1'-9";11'-7";2/4";2;0.12;Piece;N/A;Cherry
339;Depot X;67;3'-1";3'-7";8/4";1;4.71;Log;2024-07-07;Pine
340;Yard A;31;1'-8";1'-9";8/4";1;5.22;Log;2024-11-02;Walnut
341;Warehouse 2;38;3'-8";4'-8";6/4";1;8.16;Piece;N/A;Cherry
342;Depot X;97;6'-10";8'-10";10/4";4;4.29;Piece;N/A;Pine
343;Warehouse 1;56;4'-7";10'-1";5/4";2;6.68;Piece;N/A;Birch
344;Depot Y;64;12'-10";12'-5";8/4";3;6.61;Piece;N/A;Cherry
345;Depot X;65;2'-8";7'-11";1/4";4;6.45;Log;2024-03-14;Birch
346;Depot Y;51;3'-9";3'-0";9/4";3;6.91;Piece;N/A;Pine
347;Warehouse 2;83;8'-8";9'-10";8/4";1;0.86;Bulk;N/A;Maple
348;Depot X;79;3'-1";8'-0";1/4";3;5.27;Log;2023-10-13;Ash
349;Warehouse 2;87;1'-8";10'-11";8/4";1;1.23;Bulk;N/A;Pine
350;Yard B;4;6'-10";5'-5";5/4";2;25.19;Log;2023-08-21;Oak
351;Depot Y;81;3'-0";7'-0";5/4";3;2.84;Log;2024-05-21;Birch
352;Yard B;41;4'-4";1'-0";6/4";2;0.64;Bulk;N/A;Ash
353;Yard A;86;10'-11";9'-7";3/4";2;0.37;Bulk;N/A;Cherry
354;Depot Y;57;1'-9";7'-2";6/4";1;6.22;Bulk;N/A;Ash
355;Warehouse 1;25;5'-0";12'-4";6/4";1;7.05;Log;2024-06-10;Walnut
356;Depot X;95;2'-1";12'-5";10/4";4;2.45;Bulk;N/A;Oak
357;Depot X;92;1'-1";9'-11";8/4";2;1.87;Log;2023-01-22;Cherry
358;Depot Y;55;11'-7";10'-5";2/4";1;7.31;Log;2023-08-19;Cedar
359;Depot X;8;7'-5";10'-7";9/4";1;1.26;Log;2023-10-17;Cedar
360;Warehouse 1;99;6'-3";11'-1";8/4";1;2.84;Log;2023-05-16;Cherry
361;Yard A;39;2'-10";8'-4";7/4";4;9.42;Log;2025-01-19;Maple
362;Warehouse 1;44;2'-3";7'-7";3/4";1;10.22;Log;2024-12-27;Walnut
363;Warehouse 2;73;3'-8";4'-6";6/4";4;2.61;Piece;N/A;Pine
364;Warehouse 2;71;11'-2";7'-3";10/4";2;0.44;Piece;N/A;Maple
365;Depot Y;42;6'-6";4'-0";10/4";1;3.09;Bulk;N/A;Cherry
366;Warehouse 1;85;4'-6";4'-6";10/4";2;0.83;Piece;N/A;Walnut
367;Yard B;77;5'-10";4'-9";3/4";3;3.89;Piece;N/A;Walnut
368;Depot X;96;9'-6";4'-3";4/4";4;1.81;Bulk;N/A;Cedar
369;Warehouse 2;63;7'-1";7'-8";10/4";2;5.55;Log;2024-11-14;Cedar
370;Depot X;25;6'-7";10'-2";8/4";3;9.24;Piece;N/A;Cherry
371;Depot Y;67;1'-4";1'-4";1/4";3;2.1;Bulk;N/A;Maple
372;Yard B;42;2'-1";9'-2";9/4";1;8.61;Bulk;N/A;Cedar
373;Yard B;3;5'-3";3'-1";5/4";1;22.36;Piece;N/A;Pine
374;Depot Y;8;12'-4";11'-5";5/4";2;45.35;Log;2023-01-28;Oak
375;Warehouse 1;2;12'-3";6'-6";9/4";1;50.13;Bulk;N/A;Ash
376;Depot X;82;2'-7";9'-6";9/4";1;3.74;Bulk;N/A;Cedar
377;Depot Y;84;11'-0";3'-2";5/4";1;2.1;Piece;N/A;Cherry
378;Warehouse 2;97;5'-8";10'-4";1/4";2;2.17;Bulk;N/A;Birch
379;Yard B;58;7'-9";11'-11";8/4";4;2.67;Piece;N/A;Pine
380;Depot Y;52;6'-10";12'-6";5/4";3;3.15;Piece;N/A;Pine
381;Yard A;23;11'-6";10'-10";3/4";4;14.29;Piece;N/A;Cherry
382;Yard B;3;1'-2";1'-6";9/4";1;8.15;Bulk;N/A;Cherry
383;Depot X;31;4'-0";7'-11";10/4";2;15.67;Bulk;N/A;Cedar
384;Depot Y;51;3'-6";9'-10";3/4";2;6.55;Log;2023-06-21;Ash
385;Depot X;70;8'-9";5'-3";3/4";2;4.9;Log;2023-08-03;Walnut
386;Depot X;39;4'-5";2'-7";4/4";2;9.25;Bulk;N/A;Walnut
387;Yard B;61;1'-9";3'-1";7/4";2;2.59;Piece;N/A;Birch
388;Depot Y;94;4'-8";5'-2";4/4";2;3.17;Log;2024-11-05;Maple
389;Depot X;46;11'-8";12'-10";1/4";4;0.62;Log;2024-12-31;Cherry
390;Warehouse 1;93;5'-5";10'-8";5/4";3;0.3;Piece;N/A;Cherry
391;Depot Y;89;2'-10";2'-4";4/4";1;1.06;Log;2024-03-29;Oak
392;Yard A;59;4'-5";1'-8";7/4";3;3.73;Piece;N/A;Cedar
393;Warehouse 2;36;10'-5";9'-6";10/4";2;6.13;Piece;N/A;Cherry
394;Depot X;93;7'-2";5'-4";3/4";3;3.72;Log;2023-03-17;Walnut
395;Yard A;51;3'-1";4'-9";8/4";3;1.01;Log;2023-03-04;Maple
396;Depot X;49;3'-2";11'-9";2/4";2;0.75;Log;2024-05-14;Cedar
397;Yard B;90;8'-2";2'-3";6/4";1;4.96;Bulk;N/A;Birch
398;Warehouse 2;95;9'-1";4'-6";8/4";4;2.12;Log;2024-07-22;Maple
399;Warehouse 1;37;2'-7";4'-2";8/4";3;4.13;Piece;N/A;Pine
400;Yard B;86;6'-11";3'-7";8/4";3;4.84;Log;2024-01-28;Maple
401;Yard A;6;8'-8";7'-3";5/4";1;24.97;Piece;N/A;Cedar
402;Yard B;80;12'-5";2'-5";8/4";4;5.5;Bulk;N/A;Maple
403;Depot X;16;1'-3";8'-11";10/4";4;3.7;Log;2024-02-21;Walnut
404;Yard A;74;2'-8";4'-5";2/4";1;4.77;Bulk;N/A;Walnut
405;Warehouse 1;18;4'-10";11'-3";4/4";1;3.54;Bulk;N/A;Maple
406;Yard B;9;7'-2";10'-11";4/4";2;27.33;Bulk;N/A;Birch
407;Warehouse 1;97;8'-5";6'-4";10/4";4;2.7;Log;2024-06-13;Pine
408;Depot X;72;3'-4";9'-8";3/4";3;1.06;Log;2023-10-21;Maple
409;Yard A;79;6'-9";3'-3";10/4";4;1.62;Log;2024-11-22;Maple
410;Warehouse 2;61;9'-0";2'-2";6/4";4;0.11;Log;2024-06-30;Ash
411;Yard B;15;3'-10";12'-2";6/4";4;8.72;Log;2023-09-20;Cedar
412;Yard B;43;11'-4";1'-6";1/4";3;9.48;Piece;N/A;Ash
413;Depot X;40;6'-8";5'-10";4/4";3;5.07;Piece;N/A;Pine
414;Warehouse 2;64;7'-1";6'-11";8/4";3;6.4;Log;2024-07-27;Maple
415;Depot Y;29;5'-7";7'-4";6/4";3;15.01;Log;2024-10-22;Birch
416;Depot X;34;9'-5";9'-4";8/4";3;4.93;Bulk;N/A;Birch
417;Depot X;39;8'-2";1'-6";4/4";2;6.99;Bulk;N/A;Cherry
418;Depot X;53;4'-10";5'-1";4/4";3;3.94;Piece;N/A;Oak
419;Yard A;54;11'-1";1'-7";9/4";2;8.06;Piece;N/A;Maple
420;Depot X;27;5'-3";9'-3";6/4";4;14.76;Piece;N/A;Cedar
421;Warehouse 2;96;7'-5";8'-9";5/4";4;1.86;Log;2024-09-24;Cedar
422;Yard A;18;2'-0";1'-6";7/4";4;11.68;Bulk;N/A;Walnut
423;Warehouse 2;49;5'-4";11'-8";3/4";3;0.72;Bulk;N/A;Maple
424;Depot Y;3;10'-7";2'-5";8/4";3;147.21;Bulk;N/A;Birch
425;Warehouse 2;37;4'-7";2'-2";5/4";3;10.37;Bulk;N/A;Oak
426;Depot Y;43;9'-11";5'-5";4/4";3;8.65;Piece;N/A;Pine
427;Warehouse 1;8;5'-4";4'-7";8/4";2;23.59;Log;2023-08-21;Ash
428;Yard A;19;8'-7";11'-7";6/4";4;24.88;Piece;N/A;Cherry
429;Depot X;66;8'-1";12'-4";2/4";3;0.68;Piece;N/A;Walnut
430;Yard A;48;7'-8";8'-7";10/4";4;2.2;Piece;N/A;Oak
431;Warehouse 2;32;5'-11";12'-7";4/4";3;13.13;Bulk;N/A;Ash
432;Warehouse 1;11;12'-7";11'-6";10/4";1;38.82;Log;2023-05-21;Ash
433;Depot Y;49;6'-7";7'-5";4/4";2;7.16;Log;2023-02-23;Cedar
434;Depot X;5;6'-9";8'-0";1/4";3;25.51;Piece;N/A;Cedar
435;Warehouse 2;98;9'-7";2'-9";7/4";4;2.44;Log;2024-10-01;Walnut
436;Yard A;54;7'-8";6'-8";3/4";4;8.27;Log;2024-07-09;Cherry
437;Yard B;100;2'-11";2'-0";10/4";3;1.08;Log;2024-06-16;Pine
438;Depot Y;7;3'-7";3'-4";6/4";3;37.59;Piece;N/A;Birch
439;Warehouse 2;29;1'-3";1'-0";5/4";2;16.22;Log;2024-02-06;Cherry
440;Yard B;30;1'-2";1'-6";3/4";3;9.99;Bulk;N/A;Pine
441;Depot Y;5;8'-9";10'-11";4/4";2;38.15;Log;2023-07-31;Cherry
442;Warehouse 1;7;11'-8";9'-5";10/4";4;8.72;Piece;N/A;Oak
443;Depot X;89;9'-0";3'-11";1/4";3;1.34;Log;2024-06-07;Maple
444;Warehouse 2;9;12'-10";11'-4";10/4";1;8.27;Piece;N/A;Maple
445;Yard A;19;6'-2";10'-0";8/4";3;4.12;Bulk;N/A;Ash
446;Depot X;97;1'-0";8'-0";8/4";2;2.11;Piece;N/A;Maple
447;Yard A;43;9'-4";4'-1";2/4";1;5.43;Log;2024-01-26;Cedar
448;Warehouse 1;37;2'-0";6'-10";1/4";2;3.41;Bulk;N/A;Walnut
449;Depot Y;28;10'-6";10'-6";4/4";4;3.14;Piece;N/A;Maple
450;Yard B;59;10'-7";12'-0";4/4";2;2.39;Bulk;N/A;Pine
451;Depot Y;91;12'-7";4'-11";9/4";1;2.51;Bulk;N/A;Ash
452;Depot Y;85;8'-1";1'-3";9/4";1;2.78;Log;2024-11-19;Birch
453;Yard A;99;12'-8";2'-4";3/4";4;1.92;Bulk;N/A;Birch
454;Warehouse 2;6;12'-8";12'-10";10/4";3;38.33;Log;2023-06-06;Pine
455;Yard A;2;8'-4";11'-4";4/4";4;13.53;Bulk;N/A;Cherry
456;Warehouse 2;48;7'-1";5'-4";7/4";2;4.15;Log;2024-02-21;Birch
457;Warehouse 2;71;8'-1";10'-9";8/4";3;4.91;Bulk;N/A;Oak
458;Yard A;99;12'-7";9'-1";2/4";4;2.22;Piece;N/A;Cherry
459;Depot Y;7;10'-0";2'-0";6/4";1;20.55;Log;2024-02-15;Cherry
460;Warehouse 1;3;8'-8";8'-7";9/4";2;28.48;Log;2024-03-26;Ash
461;Depot X;57;12'-9";1'-9";1/4";3;3.22;Log;2023-03-11;Cherry
462;Depot X;88;9'-3";4'-4";7/4";4;1.35;Piece;N/A;Birch
463;Yard B;13;7'-3";8'-5";7/4";1;8.72;Piece;N/A;Birch
464;Yard A;3;12'-10";12'-10";3/4";1;148.0;Bulk;N/A;Ash
465;Warehouse 1;27;4'-6";1'-6";4/4";2;7.03;Log;2024-03-13;Oak
466;Yard A;84;5'-2";11'-11";9/4";4;5.4;Log;2023-09-01;Cherry
467;Warehouse 1;14;10'-10";11'-8";10/4";3;28.96;Piece;N/A;Maple
468;Depot X;63;3'-11";8'-11";8/4";3;6.65;Bulk;N/A;Walnut
469;Warehouse 2;10;4'-8";2'-3";5/4";3;9.57;Piece;N/A;Cedar
470;Yard B;94;8'-4";3'-9";6/4";2;0.65;Piece;N/A;Ash
471;Depot Y;38;1'-2";11'-7";8/4";4;4.5;Piece;N/A;Pine
472;Depot Y;86;1'-2";11'-3";1/4";2;4.18;Log;2023-08-06;Cedar
473;Yard B;28;5'-11";1'-11";9/4";2;11.56;Piece;N/A;Oak
474;Depot Y;57;5'-3";12'-5";10/4";3;7.05;Log;2023-03-04;Cedar
475;Depot Y;81;8'-0";11'-4";10/4";4;5.28;Bulk;N/A;Cherry
476;Yard A;14;8'-11";7'-8";2/4";2;7.86;Piece;N/A;Walnut
477;Depot Y;77;11'-9";10'-8";2/4";2;0.98;Bulk;N/A;Pine
478;Yard B;31;6'-4";11'-2";10/4";2;14.68;Log;2024-08-03;Walnut
479;Depot Y;85;10'-5";7'-3";6/4";2;0.32;Piece;N/A;Cherry
480;Yard A;87;12'-6";5'-2";4/4";1;3.28;Log;2025-03-14;Birch
481;Warehouse 1;62;5'-1";2'-3";6/4";2;7.07;Log;2023-02-03;Walnut
482;Depot Y;30;8'-7";12'-2";9/4";4;5.86;Bulk;N/A;Cedar
483;Yard B;37;5'-8";8'-7";8/4";1;11.0;Log;2024-04-24;Birch
484;Depot Y;13;9'-3";4'-2";3/4";4;37.3;Bulk;N/A;Maple
485;Depot Y;39;10'-7";5'-11";5/4";1;1.1;Bulk;N/A;Ash
486;Warehouse 1;88;4'-8";9'-0";10/4";3;0.87;Piece;N/A;Birch
487;Warehouse 2;39;8'-9";3'-4";2/4";1;1.1;Bulk;N/A;Oak
488;Warehouse 1;33;5'-1";10'-7";4/4";1;2.73;Bulk;N/A;Ash
489;Yard A;7;1'-0";4'-0";5/4";2;6.76;Bulk;N/A;Walnut
490;Depot X;54;1'-11";6'-5";3/4";1;7.83;Log;2024-02-22;Cedar
491;Yard A;50;1'-7";8'-1";5/4";4;4.37;Bulk;N/A;Birch
492;Warehouse 1;10;8'-6";10'-7";3/4";4;27.86;Piece;N/A;Cedar
493;Yard A;79;8'-6";4'-10";10/4";3;0.84;Bulk;N/A;Birch
494;Depot X;86;8'-4";1'-5";4/4";1;3.38;Piece;N/A;Birch
495;Depot X;48;2'-8";5'-5";3/4";3;2.37;Piece;N/A;Maple
496;Yard B;21;8'-3";3'-2";10/4";2;8.52;Bulk;N/A;Pine
497;Yard B;50;7'-5";4'-1";5/4";4;4.22;Bulk;N/A;Cedar
498;Depot X;54;1'-0";10'-3";2/4";3;5.73;Log;2024-08-07;Maple
499;Depot Y;89;8'-1";9'-10";2/4";3;1.56;Piece;N/A;Cedar
500;Yard A;56;11'-0";2'-3";10/4";1;7.98;Log;2024-06-21;Pine
